Batter,All Rounders,Bowlers
Ruturaj Gaikwad(23),Rachin Ravindra(30),Khaleel Ahmed(41)
MS Dhoni(24),Ravindrachan Ashwin(31),Noor Ahmed(42)
Devon Conway(25),Vijay Shankar(32),Mukesh Choudary(43)
Rahul Tripathi(26),Sam Curran(33),Gurjapneet Singh(44)
Shaik Rasheed(27),Anshul Kamboj(34),Nathan Ellis(45)
Vansh Bedi(28),Deepak Hooda(35),Shreyas Gopal(46)
Andre Siddharth(29),Jamie Overton(36),Mathisa Pathirana(47)
,Kamlesh Nagarkoti(37),
,Ramkrishna Gosh(38),
,Ravindra Jadeja(39),
,Shivam Dube(40),
