Player Name
Rajat Patidar
Virat Kohli
Phil Salt
Jitesh Sharma
Devdut Padikkal
Swastik Chikkara
Liam Livingstone
Krunal Pandya
Swapnil Singh
Tim David
Romario Shepherd
Manoj Bhangade
Jacob Sethel
Josh Hazelwood
Rasikh Dar
Suyash Sharma
Bhuvneshwar Kumar
Nuwam Thunshara
Lungisani Ngidi
Abhinandan Singh
Mohit Rathee
Yash Dayal
Ruturaj Gaikwad
MS Dhoni
Devon Conway
Rahul Tripathi
Shaik Rasheed
Vansh Bedi
Andre Siddharth
Rachin Ravindra
Ravindrachan Ashwin
Vijay Shankar
Sam Curran
Anshul Kamboj
Deepak Hooda
Jamie Overton
Kamlesh Nagarkoti
Ramkrishna Gosh
Ravindra Jadeja
Shivam Dube
Khaleel Ahmed
Noor Ahmed
Mukesh Choudary
Gurjapneet Singh
Nathan Ellis
Shreyas Gopal
Mathisa Pathirana
Ajinkya Rahane
Rinku Singh
Quinton De Cock
R Gurbaz
A Raghuwanshi
Rovman Powell
Manish Pandey
Luvnith Sisodia
Venketesh Iyer
Anukul Roy
Mooen Ali
Ramandeep Singh
Andre Russell
Anrich Nortje
Vaibhav Arora
Mayank Markande
Spencer Johnson
Harshit Rana
Sunil Naraine
Varun Chakrawarthy
Chetan Sakariya
Rohit Sharma
Suryakumar Yadav
Robin Minz
Riyan Rickhelton
S Krishnan
Bevon Jacobs
Tilak Verma
Hardik Pandya
Naman Dhir
Will Jacks
Mitchell Santner
R A Bawa
Vignesh Puthur
Corbin Bosch
Trent Boult
Karn Sharma
Deepak Chahar
Ashwani Kumar
Reece Topley
V S Penmetsa
Arjun Tendulkar
Mujeeb Ur Rahman
Jasprit Bumrah
Sanju Samson
Shubham Dubey
Vaibhav Suryawanshi
Kunal Rathore
Shimron Hetmyer
Yashasvi Jaiswal
Dhruv Jurel
Riyan Parag
Nitish Rana
Yudhvir Charak
Jofra Archer
M Theekshana
W Hasaranga
Akash Madwal
K K Singh
Tushar Deshpande
Fazalhaq Farooqi
Kwena Maphka
Ashok Sharma
Sandeep Sharma
K L Rahul
J F Macgruk
Karun Nair
Faf du Plessis
D Ferriara
Abhishek Porel
Tristan Stubbs
Axar Patel
Sameer Rizvi
Ashutosh Sharma
D Nalkande
Vipraj Nigam
Ajay Mandal
M Kumar
Tripuran Vijay
Madhav Tiwari
Mitchell Starc
T Natrajan
Mohit Sharma
Mukesh Kumar
D Chameera
Kuldeep Yadav
Ishan Kishan
Athrava Taide
Abhinav Manohar
Aniket Verma
Sachin Baby
Heinrich Klassen
Travis Head
Harshal Patel
Kamindu Mendis
Wiann Mulder
Abhishek Sharma
N K Reddy
Pat Cummins
M Shami
Rahul Chahar
Adam Zampa
Simarjeet Singh
Zeeshan Ansari
Jaydev Unadkat
Eshan Malinga
Shreyas Iyer
Nehal Wadhera
Vishnu Vinod
Josh Inglis
Harnoor Pannu
Pyla Avinash
P Singh
Shashank Singh
Marcus Stoinis
Glenn Maxwell
Harpreet Brar
Marco Jansen
A Omarzai
Priyansh Arya
Aaron Hardie
Musheer Khan
Suryansh Shegde
Arshdeep Singh
Yuzvendra Chahal
V Vijaykumar
Yash Thakur
Lockie Ferguson
Kuldeep Sen
Xavier Bartlet
Pravin Dubey
